Sl. No.,Management,District,Lower Primary,,,Upper Primary,,, Elementary Schools,,,Secondary,,,Higher Secondary(PU Sections) ,,
,,,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
185,6-Others State Govt. Managed Schools,BENGALURU U NORTH-2928,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0
186,6-Others State Govt. Managed Schools,BENGALURU U SOUTH-2920,0,0,0,3,8,11,3,8,11,0,0,0,0,0,0
187,6-Others State Govt. Managed Schools,BIDAR-2905,0,0,0,2,2,4,2,2,4,2,2,4,0,0,0
188,6-Others State Govt. Managed Schools,CHITRADURGA-2913,0,0,0,0,6,6,0,6,6,0,2,2,0,0,0
189,6-Others State Govt. Managed Schools,DAKSHINA KANNADA-2924,0,0,0,7,3,10,7,3,10,2,0,2,1,0,1
190,6-Others State Govt. Managed Schools,DAVANAGERE-2914,2,0,2,4,5,9,6,5,11,2,1,3,0,0,0
191,6-Others State Govt. Managed Schools,DHARWAD-2909,0,0,0,2,2,4,2,2,4,2,2,4,0,1,1
192,6-Others State Govt. Managed Schools,HAVERI-2911,0,0,0,7,12,19,7,12,19,4,8,12,1,0,1
193,6-Others State Govt. Managed Schools,KALBURGI-2904,0,0,0,6,4,10,6,4,10,0,1,1,1,0,1
194,6-Others State Govt. Managed Schools,KODAGU-2925,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
195,6-Others State Govt. Managed Schools,KOLAR-2919,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
196,6-Others State Govt. Managed Schools,MYSURU-2926,0,1,1,1,6,7,1,7,8,1,6,7,0,0,0
197,6-Others State Govt. Managed Schools,RAICHUR-2906,0,0,0,1,2,3,1,2,3,0,0,0,0,0,0
198,6-Others State Govt. Managed Schools,UTTARA KANNADA SIRSI-2934,0,0,0,0,2,2,0,2,2,0,1,1,0,0,0
199,6-Others State Govt. Managed Schools,UTTARA KANNADA-2910,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
200,6-Others State Govt. Managed Schools,YADAGIRI-2933,0,0,0,4,5,9,4,5,9,4,3,7,0,0,0
201,6-Others State Govt. Managed Schools,,2,1,3,45,68,113,47,69,116,20,29,49,3,1,4
202,8-Un-Recognised,BENGALURU U NORTH-2928,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
203,8-Un-Recognised,BENGALURU U SOUTH-2920,0,0,0,0,2,2,0,2,2,0,1,1,0,0,0
204,8-Un-Recognised,KOLAR-2919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
